"","Date","^GSPC","T","S","VOD","TMUS","MBT","PTNR","UAL","LUV","ALK","ATSG","SKYW","ALGT","PG","CLX","REV","UL","OBCI","KMB","JNJ","AMGN","PFE","ABT","BIIB","VRTX","BRK-B","JPM","BAC","WFC","C","AXP"
"1","2012-01-01",1312.410034,18.914244,2.12,16.968483,14.376306,8.27026,7.684785,23.1,8.917747,16.776953,6.02,11.704387,46.750851,48.681026,54.254707,15.76,24.748617,2.067129,52.274204,51.989628,55.832848,15.916595,20.989849,117.949997,36.950001,78.370003,29.406826,6.41614,22.798679,28.187292,44.272968
"2","2012-02-01",1365.680054,19.962051,2.47,16.974749,16.750673,9.005504,6.934135,20.65,8.359221,15.110933,5.43,10.442509,42.506954,52.634846,53.892181,15.16,24.80974,2.480555,53.238461,51.33493,55.898613,15.715773,22.341753,116.470001,38.919998,78.449997,31.158987,7.172039,24.42214,30.572935,46.875557
"3","2012-03-01",1408.469971,20.379694,2.85,17.338181,14.669038,9.049915,7.112414,21.5,7.674294,15.787476,5.79,10.104182,46.351128,52.315712,54.800911,17.25,25.483477,2.113065,53.976257,52.488655,56.165901,17.021286,24.188763,126,41.009998,81.150002,36.510963,8.622465,26.756516,33.547237,51.280399
"4","2012-04-01",1397.910034,21.476013,2.48,17.432173,11.871837,9.651926,7.0092,21.92,7.711547,14.897174,5.3,8.250102,49.974163,49.536846,55.87698,17.08,26.462727,1.938507,57.937881,51.804291,58.760578,17.209154,24.492643,134.009995,38.48,80.449997,34.128788,7.307022,26.269442,30.325603,53.363163
"5","2012-05-01",1310.329956,22.613417,2.57,16.786772,10.408185,8.211046,4.353773,25.17,8.410056,15.117551,5.07,6.469768,55.153572,48.896164,55.313248,14.89,24.350023,1.966069,58.587627,49.679596,57.446712,16.435125,24.824854,130.75,60.040001,79.360001,26.495461,6.622269,25.192572,24.332085,49.652428
"6","2012-06-01",1362.160034,23.599487,3.26,17.657753,9.838988,8.908764,3.790786,24.33,8.587016,15.822741,5.2,5.992565,59.261379,48.079796,58.255787,14.23,26.254524,2.342746,61.851101,54.285236,60.555996,17.455595,25.901575,144.380005,55.919998,83.330002,28.557552,7.380008,26.455891,25.165846,51.76907
"7","2012-07-01",1379.319946,25.095127,4.36,18.722958,14.246203,9.815176,3.105817,18.889999,8.568646,15.359959,4.83,6.463475,60.435062,50.662373,58.456768,14.55,27.873547,1.901758,64.800583,55.619072,68.604111,18.244888,26.640821,145.830002,48.509998,84.839996,28.773352,6.62216,26.748621,24.90877,51.324398
"8","2012-08-01",1406.579956,24.550032,4.85,18.833672,15.823694,9.535485,3.987831,18.450001,8.335551,14.786986,4.65,8.097813,56.335747,53.200069,59.008121,13.27,27.92803,1.754762,62.332645,54.18079,69.700432,18.108278,26.764677,146.589996,53.330002,84.339996,29.932011,7.208592,26.922667,27.277525,52.025311
"9","2012-09-01",1440.670044,25.260258,5.52,18.56015,19.043728,9.074509,5.25,19.5,8.186023,15.452512,4.41,9.53824,53.886368,54.918221,58.440331,15.44,28.660023,1.92932,63.958069,55.873138,70.315559,19.033813,27.997961,149.210007,55.889999,88.199997,32.623798,7.966443,27.496372,30.052317,50.740311
"10","2012-10-01",1412.160034,23.176456,5.55,17.733089,16.604309,8.877686,5.7,19.209999,8.232691,16.854084,3.85,10.140871,61.863853,54.823212,58.643127,15.4,29.264305,1.837448,62.799675,57.421783,72.150833,19.049135,26.748343,138.210007,48.279999,86.349998,33.590912,8.419042,26.827471,34.341564,49.946083
"11","2012-11-01",1416.180054,23.13373,5.73,16.801817,17.31987,9.027892,6.4,20.219999,8.895415,18.841837,3.79,10.743389,62.952477,55.744427,62.461178,14.92,30.096165,2.131439,64.507965,56.537994,74.077873,19.164028,26.95126,149.089996,39.790001,88.080002,33.351875,8.906844,26.285992,31.751476,50.058716
"12","2012-12-01",1426.189941,22.849049,5.67,16.744291,16.165213,9.659792,5.98,23.379999,9.558138,18.991693,4.01,11.549839,64.174477,54.195732,59.900555,14.5,30.643867,2.186563,63.537167,57.340614,72.212906,19.382547,27.158577,146.369995,41.900002,89.699997,35.698185,10.487673,27.393267,36.344368,51.47361
"13","2013-01-01",1498.109985,23.581083,5.63,18.160151,16.311577,10.182922,5.75,24.15,10.474638,20.33156,4.65,11.716691,65.101128,59.999283,64.146423,15.75,32.202969,2.177375,67.971451,60.465313,71.592964,21.082771,29.2785,156.080002,44.779999,96.93,38.198765,10.236035,27.914206,38.733021,52.664635
"14","2013-02-01",1514.680054,24.653721,5.8,16.71106,15.937534,10.716413,5.6,26.709999,10.932496,22.72039,5.52,13.018095,70.188927,61.306583,69.304527,22.549999,31.538172,2.250873,71.593674,62.256718,76.694786,21.337202,29.321995,166.339996,46.82,102.160004,39.989815,10.154652,28.315266,38.567654,55.849957
"15","2013-03-01",1569.189941,25.18922,6.21,18.878048,17.72644,10.742311,6.23,32.009998,12.59573,28.190037,5.83,14.924312,77.610832,62.014771,73.033348,22.360001,33.698212,2.370307,74.403351,67.223625,86.34407,22.498777,30.649691,192.619995,54.970001,104.199997,38.796337,11.023591,29.856943,40.653637,60.621685
"16","2013-04-01",1597.569946,25.717861,7.05,20.33378,19.255144,10.721594,6.93,32.299999,12.811939,27.167509,5.77,13.340382,78.58992,61.78138,71.152443,19.35,34.559807,2.425431,79.056343,70.274376,87.775978,22.662498,32.038128,218.929993,76.82,106.32,40.063396,11.141248,30.656038,42.877457,61.475372
"17","2013-05-01",1630.73999,24.309835,7.3,19.250288,17.425579,9.980924,6.07,32.459999,13.251477,25.043121,6.05,13.070035,80.871567,62.226799,69.030785,19.9,33.514717,2.618363,74.183792,69.408607,84.676323,21.228058,31.941708,237.490005,80.330002,114.07,44.903797,12.363073,32.73045,47.775383,68.237152
"18","2013-06-01",1606.280029,24.594685,7.02,19.110701,24.348629,10.288292,6.27,31.290001,12.054448,22.91873,6.61,12.622557,92.65567,62.413269,69.08065,22.059999,32.532646,2.590801,74.421295,71.325996,83.468231,22.018162,30.382517,215.199997,80.059998,111.919998,43.423183,11.639028,33.573895,44.090874,67.380951
"19","2013-07-01",1685.72998,24.504362,5.96,20.633223,23.661648,10.587056,7.59,34.849998,12.970127,26.960361,6.68,14.136563,85.128876,65.096573,71.40715,25.09,32.677399,2.609175,76.354111,77.672707,91.615402,22.977184,31.906879,218.130005,79.800003,115.870003,45.841522,13.223724,35.388046,47.923668,66.488625
"20","2013-08-01",1632.969971,23.802851,6.71,22.286634,22.915779,11.494206,7.25,28.459999,12.013545,24.954973,6.41,12.051607,82.619957,63.615456,69.277496,22.379999,30.706942,2.471367,72.242752,71.78289,92.165298,22.356218,29.149853,213.020004,75.150002,111.220001,41.867287,12.788973,33.419331,44.421764,65.009918
"21","2013-09-01",1681.550049,23.795813,6.22,24.236284,25.487057,12.277462,7.89,30.709999,13.693616,27.777443,7.49,13.57559,92.104942,61.73695,68.456566,27.77,31.298487,2.232499,72.814644,72.558067,95.10083,22.768311,29.027412,240.759995,75.82,113.510002,42.828419,12.499139,33.845173,44.59576,68.273521
"22","2013-10-01",1756.540039,25.470387,6.73,25.386784,27.214327,12.575295,8.12,33.950001,16.195333,31.343893,7.24,14.099338,91.152061,65.951317,75.551865,23.75,32.929119,2.067129,84.232178,77.513016,98.686668,24.321604,31.966011,244.190002,71.349998,115.089996,42.704144,12.662001,34.967339,44.843971,73.950943
"23","2013-11-01",1805.810059,25.106112,8.39,25.55212,25.526314,11.626636,9.52,39.25,17.483814,34.484489,7.78,15.843005,96.773125,69.322723,78.678398,26.4,32.85611,2.214125,85.136894,79.228813,96.936249,25.145794,33.541893,290.970001,69.419998,116.529999,47.759655,14.33878,36.05674,48.659683,77.802773
"24","2013-12-01",1848.359985,25.070454,10.75,27.498419,33.014423,11.929985,9.38,37.830002,17.718939,32.718056,8.09,13.902472,92.174873,67.00975,78.332169,24.959999,33.728279,2.287622,81.471245,77.194458,97.340492,24.461975,33.66486,279.570007,74.300003,118.559998,48.811333,14.112189,37.450653,47.91489,82.27327
"25","2014-01-01",1782.589966,23.758463,8.27,25.924484,30.001514,9.514203,8.55,45.84,19.746075,35.259872,6.29,12.196305,81.316277,63.067036,74.540543,23.48,31.607965,2.756171,85.982872,74.564835,101.495903,24.278292,32.198112,312.640015,79.040001,111.599998,46.207176,15.191483,37.401165,43.611649,77.09549
"26","2014-02-01",1859.449951,23.070992,8.74,28.526848,29.932817,9.497658,9.13,44.959999,21.150448,38.635567,6.39,11.937892,88.62912,65.235603,74.298378,23.610001,33.5891,2.682674,86.753326,77.641144,105.821953,25.643948,35.133709,340.679993,80.860001,115.779999,47.735973,14.991953,38.292053,44.724342,82.985603
"27","2014-03-01",1872.339966,25.339794,9.19,25.57559,32.415768,9.646576,8.95,44.630001,22.25321,41.871071,7.85,11.994291,99.942154,66.844513,74.919785,25.549999,35.36005,2.820482,86.674698,83.386559,105.778099,25.865837,34.012039,305.869995,70.720001,124.970001,51.004055,15.599612,41.307537,43.777073,81.849159
"28","2014-04-01",1883.949951,25.795,8.5,26.374607,28.745319,9.243946,8.88,40.869999,22.821972,42.216602,7.83,10.938463,104.870934,68.461708,77.209709,30.139999,36.980106,2.576444,88.95002,85.984161,95.838379,25.189396,34.215183,287.119995,67.699997,128.850006,47.030254,13.739499,41.224483,44.062168,79.485428
"29","2014-05-01",1923.569946,25.965363,9.55,24.324947,33.691597,10.198126,8.33,44.369999,24.974808,44.182049,9.08,10.787587,102.683327,67.537048,76.891304,31.52,37.170204,2.893832,89.029228,86.128479,99.47464,23.86067,35.546726,319.369995,72.260002,128.339996,46.980053,13.739499,42.171227,43.749477,83.395988
"30","2014-06-01",1960.22998,25.884832,8.53,23.199375,32.994797,10.88756,7.81,41.07,25.361938,43.100937,8.37,11.523105,105.156677,65.697929,78.418503,30.5,37.78413,2.875162,88.133804,89.429932,102.073059,24.113972,36.337452,315.309998,94.68,126.559998,48.713165,13.948222,43.962914,43.326271,86.467514
"31","2014-07-01",1930.670044,26.053204,7.35,23.942873,32.327442,9.889257,7.45,46.389999,26.763458,39.876862,7.67,10.114327,105.147743,64.636276,74.531898,30.5,36.04961,2.800483,82.963707,85.557663,109.851189,23.317755,37.421352,334.390015,88.910004,125.43,48.755451,13.84823,42.574425,44.991245,80.205963
"32","2014-08-01",2003.369995,25.923077,5.61,24.750095,29.520628,10.663571,7.16,47.610001,30.29343,42.026245,8.17,8.486951,109.701523,70.031151,76.630882,33.970001,36.74176,2.865828,86.262436,88.669167,120.190437,24.089025,37.729237,343.040009,93.57,137.25,50.611645,14.611015,43.0261,47.521217,81.843712
"33","2014-09-01",1972.290039,26.130699,6.34,23.705027,28.33313,8.634892,7.05,46.790001,32.021385,39.596401,7.28,7.361036,110.415855,70.561996,83.065834,31.690001,35.251034,3.817992,85.918968,91.730186,121.704857,24.236559,37.148643,330.809998,112.309998,138.139999,51.284199,15.482771,43.689167,47.67762,80.006683
"34","2014-10-01",2018.050049,25.834101,5.93,23.942873,28.647179,8.264989,6.51,52.810001,32.694618,48.408733,8.18,10.952034,119.175163,73.536491,86.058395,34.299999,33.846035,3.481934,92.016914,92.75428,140.524612,24.548021,38.935062,321.079987,112.639999,140.160004,51.488522,15.630701,44.71674,49.250931,82.209297
"35","2014-11-01",2067.560059,26.580591,5.12,26.342924,28.647179,7.202423,6.1,61.23,39.654549,53.683392,7.95,11.883719,125.237946,76.783272,88.550766,32.959999,35.45293,3.397919,97.922157,93.158783,143.23671,25.531578,39.968037,307.690002,117.879997,148.690002,51.561157,15.521393,45.887524,49.665195,84.718346
"36","2014-12-01",2058.899902,25.235785,4.15,25.023003,26.43902,4.231865,5.06,66.889999,40.128662,54.468334,8.56,12.625263,134.229416,77.343658,90.807671,34.16,34.368073,4.219394,97.040276,90.577896,138.547913,25.752708,40.425995,339.450012,118.800003,150.149994,53.635265,16.295637,46.479282,49.794022,85.286697
"37","2015-01-01",1994.98999,24.73242,4.3,25.726017,29.618769,4.632655,3.33,69.370003,42.901672,61.860222,8.33,11.97021,164.841583,71.569855,92.986137,32.740002,37.331135,4.480773,91.334099,86.740662,132.433319,25.835377,40.192528,389.160004,110.139999,143.910004,46.607315,13.84018,44.020508,43.205139,73.965836
"38","2015-02-01",2104.5,26.332882,5.12,25.308603,32.415768,5.835023,3.86,65.18,41.059505,58.013889,8.99,13.944578,166.978561,72.79686,95.318619,33.759998,37.449997,4.686141,92.772278,88.793541,137.182358,28.373449,42.761356,409.589996,119.43,147.410004,52.85894,14.443121,46.453842,48.249069,75.010887
"39","2015-03-01",2067.889893,24.877565,4.74,23.931862,31.100687,5.952903,2.72,67.25,42.066044,60.512146,9.22,13.93504,174.862808,70.069023,96.85405,41.200001,35.680756,3.976686,90.61499,87.749092,139.771088,29.015741,41.822544,422.23999,117.970001,144.320007,52.255142,14.059431,46.427197,47.420681,71.820717
"40","2015-04-01",2085.51001,26.393833,5.13,25.777283,33.406986,7.119907,2.48,59.740002,38.566986,58.573704,9.32,13.055607,140.015396,67.991066,93.090096,39.110001,37.485752,3.565948,93.544266,86.527924,138.074799,28.29847,41.903774,373.929993,123.279999,141.210007,54.566849,14.59825,47.024605,49.077457,71.442711
"41","2015-05-01",2107.389893,26.696024,4.65,28.582024,38.156982,6.165085,2.35,54.59,35.229446,59.104031,10.52,14.155532,143.393784,67.572433,95.102936,36.91,38.037815,3.696638,92.836433,87.347847,136.632019,28.98238,44.096138,396.98999,128.289993,143,57.117687,15.120597,47.75856,49.776989,73.536636
"42","2015-06-01",2063.110107,27.453468,4.56,26.692669,38.049026,5.764296,2.67,53.009998,31.464041,59.086876,10.49,14.38508,162.223114,67.44313,91.887466,36.709999,37.012558,3.332575,90.371841,85.630119,134.897919,28.196251,44.531658,403.940002,123.480003,136.110001,58.836956,15.597126,48.322742,50.892868,71.691788
"43","2015-07-01",2103.840088,26.850605,3.37,28.577457,39.903881,4.833049,4.25,56.389999,34.491039,69.468124,10.35,15.878914,194.005646,66.115646,98.883705,35.970001,39.054451,3.033856,98.84977,88.04631,155.169479,30.323799,45.992458,318.779999,135,142.740005,59.50555,16.434378,49.723274,53.859467,70.423035
"44","2015-08-01",1972.180054,26.189951,5.06,26.08128,38.873405,4.813117,4.28,56.970001,34.967434,69.91748,9.09,15.246057,185.369186,61.4165,98.893005,33.34,34.729427,2.399081,91.593163,82.572525,133.369003,27.969206,41.610466,304.48999,133.75,134.039993,56.022709,15.110799,46.423855,49.313213,71.034119
"45","2015-09-01",1920.030029,25.516411,3.84,25.544224,39.069687,4.668029,4.37,53.049999,36.311501,73.045547,8.55,15.993981,197.469009,62.520218,102.771515,29.450001,35.388004,2.445755,93.751228,82.646431,122.107063,26.619904,36.668995,291.809998,104.139999,130.399994,53.287121,14.320333,44.409157,45.744743,68.63607
"46","2015-10-01",2079.360107,26.244778,4.73,24.939089,37.18539,4.434628,4.53,60.310001,44.186623,70.103493,9.79,18.300648,180.301773,66.378838,108.473633,31.370001,38.572758,2.781813,103.803238,89.445831,139.63916,28.662374,40.844631,290.51001,124.739998,136.020004,56.153805,15.472969,46.822037,49.027374,67.830551
"47","2015-11-01",2080.409912,26.74749,3.65,25.385376,34.839836,4.550676,4.5,55.73,43.795258,73.302971,9.51,19.809683,159.920258,65.624962,111.268143,27.379999,37.470406,2.128367,103.31765,89.63176,142.216949,27.772503,41.191845,286.859985,129.360001,134.089996,58.698101,16.072336,47.652279,49.921299,66.581673
"48","2015-12-01",2043.939941,27.335344,3.62,24.806866,39.119999,3.989102,4.37,57.299999,41.103397,74.213692,10.08,18.281422,153.496414,69.632271,113.532898,27.84,37.706505,1.997678,110.384705,91.612457,144.028152,27.578041,41.182674,306.350006,125.830002,132.039993,58.1259,15.519072,47.335461,47.761627,64.639244
"49","2016-01-01",1940.23999,28.646107,3.02,24.760727,40.150002,4.518402,4.49,48.279999,35.964996,64.894318,9.73,14.465014,148.137955,71.631538,115.520164,29.73,38.712124,1.960338,112.170776,93.146477,135.510483,26.048777,34.708626,273.059998,90.75,129.770004,52.377575,13.075312,43.739147,39.298367,49.722496
"50","2016-02-01",1932.22998,29.76619,3.44,23.376589,37.099998,4.518402,4.47,57.259998,40.104492,68.12059,11.55,17.383053,151.285889,71.017464,113.852989,35,37.444164,1.857654,113.812912,93.833183,126.238663,25.348219,35.74894,259.420013,85.489998,134.169998,49.893093,11.577291,40.856865,35.900093,51.881706
"51","2016-03-01",2059.73999,31.554577,3.48,24.645384,38.299999,5.221981,4.66,59.860001,42.829117,75.894157,15.38,19.251371,164.37616,72.804176,113.52877,36.41,39.804909,2.175042,117.490211,97.199219,133.951157,25.577169,38.600372,260.320007,79.489998,141.880005,52.480804,12.501996,42.436703,38.579895,57.314445
"52","2016-04-01",2065.300049,31.272621,3.43,25.175968,39.279999,5.9772,5.14,45.810001,42.723858,65.169785,14.09,22.678755,148.490829,70.867104,112.781288,36.43,39.522984,2.193712,110.119087,100.684746,141.429123,28.226358,35.896587,274.98999,84.339996,145.479996,56.007893,13.51492,43.858265,42.765919,61.076286
"53","2016-05-01",2096.949951,31.929537,3.8,26.137177,42.759998,5.654456,5.27,45.09,40.68391,61.440769,12.65,22.775261,128.561951,72.267593,116.471703,31.18,40.462627,2.287534,111.746368,101.232735,141.11647,29.94359,36.793636,289.730011,93.150002,140.539993,58.270561,13.728414,44.507633,43.079418,61.681522
"54","2016-06-01",2098.860107,35.240749,4.53,23.753378,43.27,5.344623,4.52,41.040001,37.552181,54.164276,12.96,25.535311,140.79039,75.504646,125.396919,32.18,42.549694,2.325819,120.929565,109.745323,136.829498,30.655773,36.496544,241.820007,86.019997,144.789993,55.476215,12.317511,41.850918,39.212719,56.991611
"55","2016-07-01",2173.600098,35.305996,6.14,24.57645,46.34,6.040363,4.75,46.889999,35.530422,62.462231,14.48,27.821527,120.596481,76.325058,118.764175,35.490002,41.572769,2.038681,114.765152,113.300957,154.707718,32.118469,41.547188,289.929993,97,144.270004,57.109982,13.495568,42.416832,40.526299,60.766499
"56","2016-08-01",2170.949951,33.713776,6.18,24.377613,46.34,5.523976,4.69,50.41,35.405617,62.750263,14.48,27.299332,128.467728,78.468536,119.44384,36.189999,41.261925,2.507673,113.445206,107.972038,152.936081,30.298807,39.252888,305.630005,94.510002,150.490005,60.730537,15.032331,44.91922,44.321838,61.822315
"57","2016-09-01",2168.27002,33.491104,6.63,23.18458,46.720001,5.184248,4.54,52.470001,37.436771,61.454071,14.35,25.53933,123.400337,80.661461,114.102425,36.779999,42.415421,2.699098,111.744308,107.590302,150.885376,29.734221,39.505112,313.029999,87.209999,144.470001,59.911797,14.643795,39.468422,43.848354,60.370567
"58","2016-10-01",2126.149902,30.340742,6.16,22.142666,49.73,5.238604,4.58,56.23,38.553429,67.388603,13.23,29.211275,128.84761,78.010193,109.399048,34,37.287979,2.727812,102.079536,105.64122,127.684097,27.837975,36.65596,280.179993,75.860001,144.300003,62.314026,15.439146,41.010433,45.63089,62.614182
"59","2016-11-01",2198.810059,32.246124,7.84,19.438461,54.209999,5.583024,4.85,68.949997,44.868294,76.766258,16.200001,35.702667,152.67363,74.681419,106.040398,27.75,36.078072,3.483943,103.150208,101.369682,130.316269,28.215467,35.789078,294.070007,81.610001,157.440002,72.654205,19.762106,47.169579,52.352501,68.253929
"60","2016-12-01",2238.830078,33.706917,8.42,20.305553,57.509998,6.495702,4.69,75.169998,47.9776,83.106407,15.96,35.362644,156.138306,76.148613,110.132965,29.15,36.727798,3.598798,101.820786,105.655914,133.14534,28.106752,36.108715,287.769989,73.669998,162.979996,77.475471,21.685604,49.530861,55.357323,70.186707
